Player Name,Team,Season,Archetype,Composite Score,Salary,Value Per Dollar (VORPD),Offensive Rating (Adjusted),Defensive Rating (Adjusted),ON/OFF Differential,Influence Score,True Shooting %,Blocks Per Game,Steals Per Game,Assist % (Adjusted),Three-Point %,Is Real Shooter,Salary ($M),Rank
Sam Hauser,BOS,2023-24,Perimeter Scorer,24.08,8838276.0,0.7866,1.0483914209115237,1.60864292097537,1.7305419900510588,0.089249733137994,0.6112995420410554,0.3,0.5,-0.0555813864419762,0.4062080291970802,1,8.84,291
Grant Williams,BOS,2022-23,Bench / Role Player,15.85,10915111.0,0.0,-0.7347394053650655,-0.2296060641765887,-3.3054908732569226,0.0760850431901169,0.5944143999227887,0.4,0.5,-0.0529815993087467,0.3822249434785187,1,10.92,366
Mason Plumlee,LAC,2022-23,Bench / Role Player,24.72,2417401.0,3.2415,-0.0094615136579327,-2.701262149338984,-1.0990833798131998,0.0965528436329543,0.6480056619661364,0.6,0.6,-0.0031696070754065,0.3635862152809072,0,2.42,297
Duncan Robinson,MIA,2021-22,Bench / Role Player,23.75,12242007.0,0.2614,-1.104979183849798,-0.890680190618332,-0.6378619113113682,0.09918639932227,0.5700367777141956,0.2,0.5,-0.0423240511632169,0.3688434087115952,1,12.24,330
Malik Beasley,MIL,2023-24,Perimeter Scorer,33.3,15400000.0,1.0501,2.4440717775272467,1.3785663284479508,6.526737102558513,0.084533631131181,0.5953072614871902,0.1,0.7,-0.0757387636226982,0.4005062104086448,1,15.4,199
Andre Drummond,CHI,2023-24,Perimeter Scorer,37.93,4399497.0,4.7283,1.729209490601245,0.2358012941728989,2.0712228926030227,0.115717361640396,0.575708266867642,0.6,0.9,-0.067933229987906,0.3699023307479622,0,4.4,154
Trey Murphy III,NOP,2022-23,Perimeter Scorer,24.58,19997639.0,0.3848,1.277616923598608,-1.9675300623418617,-2.536890933043066,0.1003410758702626,0.6310759488695764,0.5,1.1,-0.0771041813391762,0.3929134700847114,1,20.0,300
Torrey Craig,PHX,2022-23,Bench / Role Player,8.11,1017781.0,0.0,-0.2528555076417997,-4.317273667513755,-8.868156056124922,0.0729112293896694,0.5696189796067926,0.8,0.6,-0.0586250176976922,0.381240905388428,1,1.02,390
Nikola Jokić,DEN,2023-24,Elite Playmaker,96.34,48592024.0,1.6301,6.632264939242126,0.8146235035453854,15.425150149644397,0.1836925735073885,0.6378214357895436,0.9,1.4,0.197046666329279,0.36713995093028,1,48.59,1
Evan Mobley,CLE,2022-23,Two-Way Big,42.91,37110898.0,0.7013,1.6968875728945276,-0.6296143935626816,0.7682749470917136,0.116945349732536,0.5876650740328444,1.5,0.8,-0.0277951720084987,0.32486224505979,1,37.11,108
Domantas Sabonis,SAC,2022-23,Elite Playmaker,49.17,33864802.0,0.9534,2.728220224137828,-2.38238949150064,0.491122658263665,0.1378571874911381,0.6472168426813998,0.5,0.8,0.1282647761714379,0.3691497154314956,1,33.86,78
DeMar DeRozan,CHI,2023-24,Elite Playmaker,54.69,21619127.0,1.7374,1.515483025379191,-0.8368101922745903,0.8290224762989601,0.146794609849684,0.5825182930543017,0.6,1.1,0.0735997625803718,0.3553217996674979,1,21.62,43
Kyle Anderson,MIN,2023-24,Bench / Role Player,35.7,8112243.0,2.2894,-2.563821730033345,1.051095889321155,-3.3774049955555987,0.0751950334135258,0.5371073815251842,0.6,0.9,0.0632077933443121,0.3519058230318803,1,8.11,176
Jordan Clarkson,UTA,2021-22,Versatile Scorer,53.12,9415526.0,3.4592,1.621341209436177,1.08629861032223,3.0245795813557805,0.1387989926775383,0.5379805917734043,0.2,0.8,0.0061070518888762,0.3310744510017682,1,9.42,65
Malik Beasley,MIN,2021-22,Bench / Role Player,24.62,925258.0,4.3988,0.0664983164983127,-0.5585858585858609,-1.9691801146935293,0.1036546969506836,0.5484375500036174,0.2,0.5,-0.0535311447811447,0.3724542256272046,1,0.93,322
KJ Martin,HOU,2021-22,Bench / Role Player,27.72,925258.0,7.7492,0.1178230662343698,-0.6044835572024156,2.0882148710431907,0.0930483196112818,0.5889134152612772,0.5,0.4,-0.0381132005558128,0.3596045025637976,1,0.93,289
Anthony Edwards,MIN,2022-23,Elite Playmaker,64.07,36436108.0,1.295,1.4518882433356104,0.2915926179084063,4.387889466900276,0.1652262233975837,0.5658432308136429,0.7,1.6,0.021504955570745,0.3686466311499771,1,36.44,23
Spencer Dinwiddie,BKN,2022-23,Versatile Scorer,48.67,1017781.0,31.2307,1.0252487986358625,-0.7604867462408976,-1.2438306579649034,0.1262046064865936,0.573657302211789,0.3,0.8,0.1348033173151449,0.3686056765579966,1,1.02,80
Brook Lopez,MIL,2023-24,Two-Way Big,34.22,7699119.0,2.22,1.4630635275247743,1.965474021882329,4.330910977548988,0.0934862361157058,0.5992707443314478,2.4,0.5,-0.0661967233774417,0.3692602956705385,1,7.7,183
Coby White,CHI,2023-24,Perimeter Scorer,46.13,11340925.0,2.5573,2.786117015834768,-1.8552261540735,2.3076789924796914,0.1278957699878914,0.5709632588745152,0.2,0.7,0.0595901262916188,0.3754603321033211,1,11.34,85
Bogdan Bogdanović,ATL,2023-24,Perimeter Scorer,58.23,14095988.0,2.9159,2.190596452531932,1.7657200624942495,7.991271712002136,0.1243125650046477,0.5702411238745307,0.3,1.2,0.0097114603437183,0.3740902878097566,1,14.1,36
Luguentz Dort,OKC,2023-24,Perimeter Scorer,32.04,16033721.0,0.93,3.942760294087028,-1.2149542832149582,-0.1614243398287511,0.0893364259731406,0.5877396445601356,0.6,0.9,-0.0646028575594109,0.3861851145038168,1,16.03,207
Jarred Vanderbilt,LAL,2022-23,Versatile Scorer,35.96,9256050.0,2.0609,1.7851701823682702,-3.133263299436929,-1.475217442598615,0.080713024517095,0.5934781214492283,0.3,1.1,0.0086362215312211,0.3557226704841228,1,9.26,169
Taurean Prince,LAL,2023-24,Bench / Role Player,16.04,2906989.0,0.0,0.8205679201841931,-2.579815809669993,-5.009578846194935,0.0774200372853432,0.5777614722786809,0.4,0.7,-0.0655832693783576,0.3868876050420168,1,2.91,365
Jordan Poole,WAS,2023-24,Versatile Scorer,47.15,28023224.0,1.0713,-0.0951260622234689,-2.384493293068325,-2.7516926978972136,0.1376506684384378,0.5376979235876478,0.3,1.1,0.0539681859681157,0.3412887658227848,1,28.02,80
Georges Niang,PHI,2022-23,Bench / Role Player,15.84,6559226.0,0.0,-0.9250943771110636,0.4856745479833138,-4.113558467509965,0.0968732348977413,0.597982931467539,0.2,0.4,-0.0492034571825948,0.3875841424527964,1,6.56,367
Brook Lopez,MIL,2022-23,Two-Way Big,38.71,6999174.0,3.1184,0.9261393941806392,2.430378537595027,8.006437036719127,0.1154479898433323,0.6173689296434887,2.5,0.5,-0.077748517294909,0.3714534572026585,1,7.0,145
Nicolas Batum,LAC,2022-23,Defensive Wing,36.69,4480751.0,4.4202,2.3116128654160666,3.1261378711433894,6.088827498805301,0.0651057875763553,0.586538626814012,0.6,0.7,-0.0579723383964581,0.3806245882773126,1,4.48,163
Daniel Gafford,WAS,2022-23,Two-Way Big,17.72,11507697.0,0.0726,-0.4517372318207652,-0.6981393582684603,-1.192754108725121,0.0981768809291864,0.6724443899259344,1.3,0.4,-0.06500322764382,0.3635862152809072,0,11.51,353
Ochai Agbaji,TOR,2023-24,Bench / Role Player,28.98,5616859.0,2.1101,0.5089335827876496,-0.2845650140318126,-0.9519852582867588,0.0690646405200442,0.5272109963362156,0.6,0.6,-0.0568582787652011,0.3383715469613259,1,5.62,239
Reggie Bullock Jr.,DAL,2022-23,Bench / Role Player,17.58,1017781.0,0.6838,1.243969207435712,-2.0457692653089725,-3.767946359176145,0.0565158462760868,0.5766923089396617,0.2,0.7,-0.0636134016503856,0.3752027003392914,1,1.02,355
Drew Eubanks,POR,2022-23,Two-Way Big,24.23,1836802.0,3.9993,1.246412594796967,-0.5978727080733379,-0.4275643976880039,0.0763145148036444,0.6255288098659382,1.3,0.5,-0.0422057598156859,0.3635862152809072,0,1.84,307
Cameron Payne,PHI,2023-24,Bench / Role Player,28.03,6000000.0,1.817,-1.1787785698435551,-1.463311328081664,-3.086758876928736,0.1053267936073581,0.5693340194992331,0.1,0.5,0.061829420004438,0.3822339108910891,1,6.0,258
