PLAYER_ID,PLAYER_NAME,SEASON,ON_COURT_NET,OFF_COURT_NET,ON_OFF_DIFF,ON_MIN_TOTAL
203500,Steven Adams,2021-22,7.85,3.54,4.31,1996
203500,Steven Adams,2022-23,8.66,2.17,6.49,1127
203501,Tim Hardaway Jr.,2021-22,1.4,4.45,-3.05,1248
203501,Tim Hardaway Jr.,2022-23,3.26,-3.13,6.39,2160
203501,Tim Hardaway Jr.,2023-24,0.21,5.48,-5.27,2119
203503,Tony Snell,2021-22,-6.95,-5.27,-1.68,825
203504,Trey Burke,2021-22,0.07,3.92,-3.86,443
203507,Giannis Antetokounmpo,2021-22,6.57,-2.57,9.14,2192
203507,Giannis Antetokounmpo,2022-23,5.36,-2.78,8.14,2021
203507,Giannis Antetokounmpo,2023-24,6.12,-4.4,10.53,2569
203516,ID_203516,2021-22,-4.13,0.43,-4.56,28
203521,ID_203521,2022-23,-8.36,4.09,-12.44,212
203524,ID_203524,2021-22,13.95,1.08,12.87,139
203526,Raul Neto,2021-22,-3.75,-3.57,-0.18,1373
203526,Raul Neto,2022-23,2.49,6.24,-3.75,504
203552,Seth Curry,2021-22,3.57,2.03,1.54,2143
203552,Seth Curry,2022-23,-3.44,2.35,-5.78,1219
203552,Seth Curry,2023-24,3.06,-0.98,4.04,608
203585,Rodney McGruder,2021-22,-2.97,-7.78,4.82,755
203585,Rodney McGruder,2022-23,-2.88,-8.71,5.83,524
203648,ID_203648,2021-22,-10.18,4.27,-14.46,474
203648,ID_203648,2022-23,-28.42,2.99,-31.41,202
203648,ID_203648,2023-24,-10.66,2.94,-13.6,154
203658,ID_203658,2021-22,-48.51,6.46,-54.97,20
203897,Zach LaVine,2021-22,-1.08,0.69,-1.77,2329
203897,Zach LaVine,2022-23,1.03,3.82,-2.79,2767
203897,Zach LaVine,2023-24,-4.68,0.22,-4.9,870
203901,Elfrid Payton,2021-22,-2.02,9.98,-12.01,547
203903,Jordan Clarkson,2021-22,8.09,3.89,4.2,2143
203903,Jordan Clarkson,2022-23,1.08,-2.12,3.19,1991
203903,Jordan Clarkson,2023-24,-5.59,-4.26,-1.33,1682
203914,Gary Harris,2021-22,-5.54,-9.19,3.65,1723
203914,Gary Harris,2022-23,-2.64,-1.23,-1.41,1185
203914,Gary Harris,2023-24,4,1.53,2.47,1294
203915,Spencer Dinwiddie,2021-22,-1.44,-1.14,-0.3,1982
203915,Spencer Dinwiddie,2022-23,-0.1,1.32,-1.42,2738
203915,Spencer Dinwiddie,2023-24,1.44,-2.73,4.17,2152
203918,Rodney Hood,2021-22,-1.04,2.95,-3.99,698
203920,Khem Birch,2021-22,0.28,2.94,-2.66,986
203920,Khem Birch,2022-23,3.39,1.36,2.03,163
203924,Jerami Grant,2021-22,-7.93,-6.22,-1.71,1501
203924,Jerami Grant,2022-23,-0.67,-6.85,6.17,2242
203924,Jerami Grant,2023-24,-9,-7.53,-1.48,1829
203925,Joe Harris,2021-22,-0.68,0.38,-1.06,424
203925,Joe Harris,2022-23,-0.58,1.29,-1.87,1532
203925,Joe Harris,2023-24,-11.97,-7.66,-4.31,169
203926,Doug McDermott,2021-22,-2.18,0.63,-2.81,1221
203926,Doug McDermott,2022-23,-7.97,-9.42,1.45,1318
203926,Doug McDermott,2023-24,-9.49,-2.96,-6.52,899
203932,Aaron Gordon,2021-22,6.52,-2.7,9.22,2380
203932,Aaron Gordon,2022-23,11.41,-6.89,18.3,2053
203932,Aaron Gordon,2023-24,8.52,0.84,7.68,2294
203933,T.J. Warren,2022-23,3.03,1.27,1.76,688
203933,T.J. Warren,2023-24,18.06,6.25,11.81,125
203935,Marcus Smart,2021-22,9.71,4.89,4.82,2296
203935,Marcus Smart,2022-23,7.74,7.83,-0.09,1957
203935,Marcus Smart,2023-24,0.04,-6.26,6.31,605
203937,Kyle Anderson,2021-22,2.08,7.91,-5.83,1489
203937,Kyle Anderson,2022-23,3.08,-1.96,5.04,1956
203937,Kyle Anderson,2023-24,4.8,8.1,-3.3,1777
203939,Dwight Powell,2021-22,2.08,4.67,-2.59,1795
203939,Dwight Powell,2022-23,5.73,-2.8,8.53,1462
203939,Dwight Powell,2023-24,1.02,3.09,-2.07,837
203943,ID_203943,2022-23,-0.15,8.15,-8.3,175
203944,Julius Randle,2021-22,-3.53,7.43,-10.96,2543
203944,Julius Randle,2022-23,2.94,4.01,-1.06,2740
203944,Julius Randle,2023-24,5.81,3.46,2.34,1629
203952,Andrew Wiggins,2021-22,5.67,5.51,0.16,2332
203952,Andrew Wiggins,2022-23,6.07,0.08,5.99,1190
203952,Andrew Wiggins,2023-24,-1.08,5,-6.08,1914
203953,ID_203953,2021-22,1.05,7.86,-6.81,112
203954,Joel Embiid,2021-22,7.59,-3.45,11.04,2300
203954,Joel Embiid,2022-23,8.91,-0.56,9.47,2283
203954,Joel Embiid,2023-24,9.85,0.93,8.91,1313
203957,Dante Exum,2023-24,11.69,-0.8,12.49,1088
203967,Dario Saric,2022-23,1.34,2.96,-1.63,802
203967,Dario Saric,2023-24,-1.28,3.35,-4.63,1097
203991,Clint Capela,2021-22,4.08,-1.2,5.28,2040
203991,Clint Capela,2022-23,-0.7,1.24,-1.93,1731
203991,Clint Capela,2023-24,0.19,-2.7,2.89,1887
203992,Bogdan Bogdanović,2021-22,4.99,-1.51,6.51,1843
203992,Bogdan Bogdanović,2022-23,1.16,-0.07,1.23,1509
203992,Bogdan Bogdanović,2023-24,2.35,-6.93,9.29,2400
203994,Jusuf Nurkić,2021-22,0.03,-13.2,13.24,1578
203994,Jusuf Nurkić,2022-23,1.23,-5.83,7.06,1394
203994,Jusuf Nurkić,2023-24,8.49,-3.15,11.65,2084
203995,Vasilije Micic,2023-24,-2.88,-4.08,1.19,1178
203999,Nikola Jokić,2021-22,8.4,-6.43,14.83,2476
203999,Nikola Jokić,2022-23,11.97,-10.71,22.69,2324
203999,Nikola Jokić,2023-24,11.21,-8.06,19.27,2731
204001,Kristaps Porziņģis,2021-22,1.08,1.33,-0.25,1486
204001,Kristaps Porziņģis,2022-23,2.12,-4.44,6.56,2122
204001,Kristaps Porziņģis,2023-24,10.83,12.41,-1.58,1689
204020,ID_204020,2021-22,-2.15,1.11,-3.26,90
204025,ID_204025,2021-22,-15.82,-7.17,-8.64,196
204038,ID_204038,2021-22,-3.39,1.39,-4.77,107
204060,Joe Ingles,2021-22,8.54,5.23,3.3,1125
204060,Joe Ingles,2022-23,0.51,1.7,-1.19,1042
204060,Joe Ingles,2023-24,6.23,0.7,5.53,1173
204456,T.J. McConnell,2021-22,-3.89,-1.15,-2.74,643
204456,T.J. McConnell,2022-23,-1.62,-2.05,0.43,1520
204456,T.J. McConnell,2023-24,4.68,3.98,0.7,1294
1626145,Tyus Jones,2021-22,7.82,4.35,3.47,1555
1626145,Tyus Jones,2022-23,1.62,6.32,-4.7,1937
1626145,Tyus Jones,2023-24,-11.21,-4.87,-6.34,1929
1626147,ID_1626147,2021-22,2.14,-1.05,3.18,317
1626149,Montrezl Harrell,2021-22,3.12,-3.63,6.75,1643
1626149,Montrezl Harrell,2022-23,2.46,5.38,-2.91,679
1626153,Delon Wright,2021-22,1.99,1.27,0.72,1451
1626153,Delon Wright,2022-23,3.38,-2.84,6.22,1223
1626153,Delon Wright,2023-24,0.56,-4.83,5.38,740
1626156,D'Angelo Russell,2021-22,4.56,1.48,3.09,2072
1626156,D'Angelo Russell,2022-23,2.28,0.92,1.36,2298
1626156,D'Angelo Russell,2023-24,2,-3.2,5.2,2488
1626157,Karl-Anthony Towns,2021-22,5.09,-0.24,5.32,2473
1626157,Karl-Anthony Towns,2022-23,2.2,0,2.2,956
1626157,Karl-Anthony Towns,2023-24,7.71,5.48,2.23,2024
1626158,Richaun Holmes,2021-22,-6.23,-4.74,-1.48,1071
1626158,Richaun Holmes,2022-23,-5.74,4.29,-10.02,343
1626158,Richaun Holmes,2023-24,-6.9,-3.25,-3.65,552
1626159,Justise Winslow,2021-22,3.36,-3.45,6.82,778
1626159,Justise Winslow,2022-23,-1.04,-3.9,2.86,775
1626161,ID_1626161,2021-22,5.63,3.39,2.24,179
1626162,Kelly Oubre Jr.,2021-22,0.47,2.24,-1.77,1995
1626162,Kelly Oubre Jr.,2022-23,-6.67,-4.35,-2.32,1544
1626162,Kelly Oubre Jr.,2023-24,0.36,7.71,-7.34,2056
1626163,ID_1626163,2021-22,10.04,8.23,1.81,181
1626163,ID_1626163,2022-23,-2.88,-1.72,-1.17,235
1626164,Devin Booker,2021-22,10.41,5.25,5.16,2346
1626164,Devin Booker,2022-23,7.62,-1.16,8.78,1838
1626164,Devin Booker,2023-24,5.52,-1.12,6.65,2445
1626166,Cameron Payne,2021-22,6.77,9.06,-2.29,1275
1626166,Cameron Payne,2022-23,4.71,2.35,2.36,965
1626166,Cameron Payne,2023-24,-0.1,3.73,-3.83,1307
1626167,Myles Turner,2021-22,0.91,-2.73,3.64,1230
1626167,Myles Turner,2022-23,-0.12,-3.39,3.27,1821
1626167,Myles Turner,2023-24,5.78,2.45,3.33,2080
1626168,Trey Lyles,2021-22,-7.03,-6.17,-0.86,1541
1626168,Trey Lyles,2022-23,4.07,3.12,0.94,1248
1626168,Trey Lyles,2023-24,7.17,-0.37,7.54,1159
1626169,Stanley Johnson,2021-22,-1.17,-3.57,2.4,1093
1626169,Stanley Johnson,2022-23,-6.52,-9.26,2.75,466
1626171,Bobby Portis,2021-22,7.22,-2.44,9.67,2022
1626171,Bobby Portis,2022-23,-1.37,3.7,-5.07,1804
1626171,Bobby Portis,2023-24,-0.07,4.97,-5.04,2014
1626172,Kevon Looney,2021-22,5.68,5.55,0.13,1728
1626172,Kevon Looney,2022-23,5.28,-1.45,6.73,1958
1626172,Kevon Looney,2023-24,1.05,2.5,-1.45,1196
1626174,Christian Wood,2021-22,-8.75,-6.46,-2.29,2094
1626174,Christian Wood,2022-23,-0.49,0.94,-1.43,1740
1626174,Christian Wood,2023-24,1.58,-0.38,1.96,871
1626179,Terry Rozier,2021-22,1.84,0.57,1.26,2452
1626179,Terry Rozier,2022-23,-5.03,-5.53,0.5,2214
