Player Name,Team,Season,Archetype,Composite Score,Salary,Value Per Dollar (VORPD),Offensive Rating (Adjusted),Defensive Rating (Adjusted),ON/OFF Differential,Influence Score,True Shooting %,Blocks Per Game,Steals Per Game,Assist % (Adjusted),Three-Point %,Is Real Shooter,Salary ($M),Rank
Torrey Craig,PHX,2022-23,Bench / Role Player,19.52,1017781.0,0.0,-0.3176470588235247,-5.423529411764704,-11.156436488713254,0.0727494336177502,0.5683549501386741,0.8,0.6,-0.0736470588235294,0.395,1,1.02,368
Nikola Jokić,DEN,2023-24,Elite Playmaker,95.87,48592024.0,1.4491,7.845454545454558,0.9636363636363684,18.22136808060412,0.1851339635031461,0.6428262621637021,0.9,1.4,0.2330909090909091,0.359,1,48.59,1
Evan Mobley,CLE,2022-23,Two-Way Big,48.08,37110898.0,0.6096,2.009090909090901,-0.7454545454545496,0.8902400079427613,0.1172057986700901,0.5889738626637697,1.5,0.8,-0.0329090909090909,0.216,1,37.11,130
Domantas Sabonis,SAC,2022-23,Elite Playmaker,55.49,33864802.0,0.8869,3.2272727272727195,-2.818181818181813,0.5624597244814245,0.1395924938598537,0.6553638209382803,0.5,0.8,0.1517272727272727,0.373,1,33.86,79
DeMar DeRozan,CHI,2023-24,Elite Playmaker,59.81,21619127.0,1.5891,1.7692307692307736,-0.9769230769230716,0.9579908014360544,0.146947459355688,0.5831248387130477,0.6,1.1,0.0859230769230769,0.333,1,21.62,52
Kyle Anderson,MIN,2023-24,Bench / Role Player,45.1,8112243.0,2.4215,-3.2818181818181955,1.345454545454558,-4.34863191939588,0.0740546243473643,0.5289616024811742,0.6,0.9,0.0809090909090909,0.229,1,8.11,166
Jordan Clarkson,UTA,2021-22,Versatile Scorer,55.94,9415526.0,3.2376,2.0,1.3399999999999892,3.7124597244814246,0.1381808700040277,0.535584767457472,0.2,0.8,0.0075333333333333,0.318,1,9.42,80
Malik Beasley,MIN,2021-22,Bench / Role Player,33.78,925258.0,8.9964,0.0833333333333286,-0.7000000000000028,-2.4853205589799128,0.1033304725422799,0.5467220769432803,0.2,0.5,-0.0670833333333333,0.377,1,0.93,292
KJ Martin,HOU,2021-22,Bench / Role Player,35.6,925258.0,10.9634,0.1533333333333359,-0.786666666666676,2.7223938057293267,0.0938339708655657,0.5938858915542133,0.5,0.4,-0.0496,0.357,1,0.93,281
Anthony Edwards,MIN,2022-23,Elite Playmaker,69.35,36436108.0,1.2047,1.7071428571428555,0.3428571428571416,5.146887014630732,0.1650032842069252,0.5650797404346757,0.7,1.6,0.0252857142857142,0.369,1,36.44,23
Spencer Dinwiddie,BKN,2022-23,Versatile Scorer,54.91,1017781.0,28.9394,1.213333333333324,-0.9000000000000057,-1.485332701907931,0.1261470877530276,0.5733958534228527,0.3,0.8,0.1595333333333333,0.369,1,1.02,81
Brook Lopez,MIL,2023-24,Two-Way Big,41.88,7699119.0,2.1332,1.7666666666666655,2.3733333333333206,5.210240007942761,0.0940030097285759,0.602583395696,2.4,0.5,-0.0799333333333333,0.366,1,7.7,198
Coby White,CHI,2023-24,Versatile Scorer,52.53,11340925.0,2.3873,3.2692307692307736,-2.1769230769230745,2.6979908014360543,0.1278085204163208,0.5705737518585753,0.2,0.7,0.0699230769230769,0.376,1,11.34,90
Bogdan Bogdanović,ATL,2023-24,Perimeter Scorer,64.18,14095988.0,2.7472,2.646666666666661,2.1333333333333258,9.646874871702714,0.1242043614692361,0.5697447773818174,0.3,1.2,0.0117333333333333,0.374,1,14.1,39
Luguentz Dort,OKC,2023-24,Perimeter Scorer,41.42,16033721.0,0.9957,4.821428571428584,-1.4857142857142804,-0.2219675656678841,0.0896322053007787,0.5896855611893339,0.6,0.9,-0.0789999999999999,0.394,1,16.03,203
Jarred Vanderbilt,LAL,2022-23,Versatile Scorer,43.54,9256050.0,1.9537,2.260000000000005,-3.966666666666669,-1.883104311849256,0.0812015049200787,0.5970698891182259,0.3,1.1,0.0109333333333333,0.322,1,9.26,176
Taurean Prince,LAL,2023-24,Bench / Role Player,27.56,2906989.0,0.7238,1.0153846153846189,-3.1923076923076934,-6.215324028387919,0.0774797456090256,0.578207056783773,0.4,0.7,-0.0811538461538461,0.396,1,2.91,339
